S.N,e11,e12,e13,e21,e22,e23,e31,e32,e33
1,11.9789,0.0,0.0,0.0,11.9801,0.0,0.0,0.0,4.1291
2,5.1153,0.0,0.0,0.0,5.3745,0.0,0.0,0.0,46.9193
3,4.0327,0.0,0.0,0.0,4.0327,0.0,0.0,0.0,4.0176
4,5.5785,0.0,0.0,0.0,5.5784,0.0,0.0,0.0,6.2383
5,2.8462,0.0,0.0,0.0,2.8462,0.0,0.0,0.0,2.0063
6,4.4744,-0.0,0.0,0.0,4.4744,0.0,0.0,0.0,2.6612
7,7.9633,0.0,0.0,0.0,7.9634,-0.0,0.0,-0.0,4.5276
8,5.6789,0.0,0.0,0.0,5.6788,0.0,0.0,0.0,3.1661
9,3.6779,0.0,-0.0,0.0,2.7376,-0.0,-0.0,-0.0,4.4281
10,4.3348,0.0,0.0,0.0,2.8801,0.0,0.0,0.0,2.8885
11,8.4441,0.0,0.0,0.0,8.4442,0.0,0.0,0.0,3.5862
12,5.9928,0.0,-0.8457,0.0,6.276,0.0,-0.8457,0.0,3.5262
13,4.7275,0.0,0.0,0.0,3.2024,0.0,0.0,0.0,5.544
14,8.3687,0.0,0.0,0.0,2.995,0.0,0.0,0.0,30.1428
15,10.1868,0.0,0.0,0.0,10.1868,0.0,0.0,0.0,7.4998
16,5.8803,0.0,0.0,0.0,5.8803,-0.0,0.0,-0.0,4.092
17,9.5047,0.0,0.0,0.0,4.6267,0.0,0.0,0.0,3.8902
18,2.9742,0.0,0.0,0.0,2.5893,0.0,0.0,0.0,1.8597
19,4.6678,0.0,-0.5621,0.0,4.2171,0.0,-0.5621,0.0,3.6967
20,2.4353,-0.0,0.3583,-0.0,2.6971,0.0,0.3583,0.0,2.6233
21,13.2651,0.0,0.0,0.0,13.2651,0.0,0.0,0.0,13.2651
22,6.1466,0.0,0.0,0.0,4.5023,0.0,0.0,0.0,4.6262
23,7.3674,0.0,-1.1063,0.0,7.7523,0.0,-1.1063,0.0,4.7226
24,5.4736,0.0,0.0,0.0,5.4844,0.0,0.0,0.0,2.1648
25,2.9267,0.0,0.0,0.0,2.9267,0.0,0.0,0.0,6.4013
