,Unnamed: 0,Bulk modulus,elastic compliance,dielectric tensor,s/e,kv/e,labels,task_id,space_groups,point_groups,crystal_structure
635,703,2.7666666666666666,23.200000000000006,11.409999982251113,0.22975187823238505,0.02739857168575855,Li3P,mp-736,P6_3/mmc,6/mmm,hexagonal
306,345,2.4777777777777783,20.0,35.08782066681861,0.06440659359008916,0.00797926131699438,Ca4Sb2O,mp-13660,I4/mmm,4/mmm,tetragonal
93,103,3.311111111111112,41.01666666666666,16.015666666662778,0.28938237147508183,0.023360679046342796,Na2CuP,mp-7639,Cmcm,mmm,orthorhombic
490,543,38.16666666666667,715.4833333333332,7.69966666663866,10.4998797854766,0.5601044680458762,MnCl2,mp-28233,R-3m,-3m,trigonal
171,195,0.6888888888888891,8.916666666666666,22.639593666666666,0.04450313780008061,0.0034382486524672877,NdGaO3,mp-3196,Pnma,mmm,orthorhombic
178,203,4.900000000000001,77.46666666666668,11.839320666489654,0.7393410411904359,0.04676554778614204,K2AgP,mp-9778,Cmcm,mmm,orthorhombic
373,413,36.011111111111134,345412.0,35.409,1102.250967826655,0.1149157587887376,TeBr2,mp-867355,P4_2/mnm,4/mmm,tetragonal
604,668,0.6707978254405425,8.487942426740553,27.3319399631662,0.03509043050135517,0.002773179092252698,LuGaO3,mp-755342,P6_3/mmc,6/mmm,hexagonal
758,836,5.466666666666669,143.04999999999995,24.52752266667325,0.6590083322957115,0.025184053710007398,TlCl,mp-569639,Fm-3m,m-3m,cubic
243,279,4.611111111111111,63.61666666666665,7.321795666586372,0.9817706262880284,0.07116143741324457,Rb2NiO2,mp-19167,I4/mmm,4/mmm,tetragonal
614,679,27.87777777777778,367.08333333333326,8.608666666712079,4.8182075523864,0.36591396894248895,GaSe,mp-1943,P6_3/mmc,6/mmm,hexagonal
574,633,2.333333333333334,20.033333333333346,15.385647991625818,0.1471276013349936,0.017136326278618216,Sr(MgAs)2,mp-867194,P-3m1,-3m,trigonal
691,765,0.5999999999999999,5.2,42.837841999999995,0.01371615828521256,0.0015826336482937565,LaAlO3,mp-5304,Pm-3m,m-3m,cubic
419,467,1.4222222222222225,15.999999999999993,16.123657333324115,0.1121277615335582,0.009966912136316291,KYO2,mp-8409,R-3m,-3m,trigonal
484,536,0.8111111111111111,26.36666666666666,10.155314333340854,0.29337195002754424,0.00902492724484228,CrAgO2,mp-19378,R-3m,-3m,trigonal
267,304,2.6777777777777794,28.63333333333333,7.273333333333332,0.4448311039993373,0.04160042532551042,RbAlF4,mp-5259,P4/mbm,4/mmm,tetragonal
381,423,0.6851870783141405,8.124825948524169,11.406603333328285,0.08048490881850398,0.0067874954948109285,MgGeO3,mp-3759,R-3,-3,trigonal
619,686,0.7666666666666667,9.866666666666667,21.900895626297498,0.05090557064320106,0.003955500421600083,YScO3,mp-768479,P6_3/mmc,6/mmm,hexagonal
225,258,3.244444444444445,20.0,134.42419500000003,0.016811608993825236,0.0027272165701094273,SnClF,mp-989192,P4/nmm,4/mmm,tetragonal
99,111,39.95555555555555,284.78333333333336,54.81966666666666,0.5869956838108089,0.08235642999487597,SnCl2,mp-569152,Pnma,mmm,orthorhombic
289,328,2.5,24.8,456.0314801391897,0.006144882555367329,0.0006194438059846098,LiBiS2,mp-33526,I4_1/amd,4/mmm,tetragonal
261,298,0.4784442502429634,5.773845488107133,128.39051388334926,0.005081465131862348,0.0004210708063035946,VO2,mp-19094,P4_2/mnm,4/mmm,tetragonal
555,613,0.8777777777777778,9.433333333333335,439.78950999884637,0.002423689848811795,0.00022552591054903617,NaTaN2,mp-5475,R-3m,-3m,trigonal
562,620,0.977777777777778,14.749999999999998,608.0835347716602,0.0027408514971425948,0.00018169109736237168,NaVO2,mp-19391,R-3m,-3m,trigonal
269,307,0.582014679442691,8.086202424686839,1182.4643333333333,0.0007727042274962077,5.5616367195709214e-05,WO3,mp-19443,P4/nmm,4/mmm,tetragonal
