,labels,task_id,spacegroup,crystal_structure
0,WO3,mp-19443,P4/nmm,tetragonal
1,NaTaN2,mp-5475,R-3m,trigonal
2,NaVO2,mp-19391,R-3m,trigonal
3,VO2,mp-19094,P4_2/mnm,tetragonal
4,LiBiS2,mp-33526,I4_1/amd,tetragonal
5,Sr2HfO4,mp-768305,I4/mmm,tetragonal
6,Na4Ti5O12,mp-555678,P-3,trigonal
7,TePb,mp-19717,Fm-3m,cubic
8,CsSrF3,mp-8397,Pm-3m,cubic
9,Sr2TiO4,mp-5532,I4/mmm,tetragonal
10,Ta3N5,mp-27488,Cmcm,orthorhombic
11,BaZrO3,mp-3834,Pm-3m,cubic
12,NaTaO3,mp-4170,Pm-3m,cubic
13,TiO2,mp-390,I4_1/amd,tetragonal
14,Bi2SO2,mp-27891,Pnnm,orthorhombic
15,SrZrO3,mp-5076,I4/mcm,tetragonal
16,MgTiN2,mp-1029702,Pnma,orthorhombic
17,FeSi2,mp-1714,Cmce,orthorhombic
18,LaAlO3,mp-5304,Pm-3m,cubic
19,BaZrS3,mp-540771,Pnma,orthorhombic
20,WO3,mp-19033,P2_1/c,monoclinic
21,CaZrO3,mp-4571,Pnma,orthorhombic
22,PbClF,mp-22964,P4/nmm,tetragonal
23,SnBrF,mp-989193,P4/nmm,tetragonal
24,TiO2,mp-554278,C2/m,monoclinic
